Model;Accuracy
VQC_angle_testing_list;0,82608696
VQC_angle_testing_list;0,80434783
VQC_angle_testing_list;0,7173913
VQC_angle_testing_list;0,79710145
VQC_angle_testing_list;0,77536232
VQC_angle_testing_list;0,78985507
VQC_angle_testing_list;0,7826087
VQC_angle_testing_list;0,75362319
VQC_angle_testing_list;0,79710145
VQC_angle_testing_list;0,82608696
VQC_angle_testing_list;0,84210526
VQC_angle_testing_list;0,85964912
VQC_angle_testing_list;0,89473684
VQC_angle_testing_list;0,92982456
VQC_angle_testing_list;0,98245614
VQC_angle_testing_list;0,63157895
VQC_angle_testing_list;0,52631579
VQC_angle_testing_list;0,94736842
VQC_angle_testing_list;0,9122807
VQC_angle_testing_list;0,63157895
VQC_angle_testing_list;0,4726
VQC_angle_testing_list;0,4779
VQC_angle_testing_list;0,5517
VQC_angle_testing_list;0,6093
VQC_angle_testing_list;0,5396
VQC_angle_testing_list;0,4374
VQC_angle_testing_list;0,4847
VQC_angle_testing_list;0,5353
VQC_angle_testing_list;0,4852
VQC_angle_testing_list;0,4755
VQC_angle_testing_list;0,21166667
VQC_angle_testing_list;0,19
VQC_angle_testing_list;0,183
VQC_angle_testing_list;0,27833333
VQC_angle_testing_list;0,25566667
VQC_angle_testing_list;0,28233333
VQC_angle_testing_list;0,21166667
VQC_angle_testing_list;0,269
VQC_angle_testing_list;0,28466667
VQC_angle_testing_list;0,23766667
VQC_amplitude_testing_list;0,86956522
VQC_amplitude_testing_list;0,8115942
VQC_amplitude_testing_list;0,84782609
VQC_amplitude_testing_list;0,8115942
VQC_amplitude_testing_list;0,81884058
VQC_amplitude_testing_list;0,76086957
VQC_amplitude_testing_list;0,88405797
VQC_amplitude_testing_list;0,84057971
VQC_amplitude_testing_list;0,94202899
VQC_amplitude_testing_list;0,88405797
VQC_amplitude_testing_list;0,8245614
VQC_amplitude_testing_list;0,8245614
VQC_amplitude_testing_list;0,85964912
VQC_amplitude_testing_list;0,80701754
VQC_amplitude_testing_list;0,9122807
VQC_amplitude_testing_list;0,85964912
VQC_amplitude_testing_list;0,84210526
VQC_amplitude_testing_list;0,84210526
